x_m,y_m,w_tr_right_m,w_tr_left_m
28.292090279,2.323719085,0.457200000,0.457200000
28.316882533,2.325090057,0.457200000,0.457200000
28.341672740,2.326497548,0.457200000,0.457200000
28.366460847,2.327941558,0.457200000,0.457200000
28.391246799,2.329422081,0.457200000,0.457200000
28.416030544,2.330939116,0.457200000,0.457200000
28.440812028,2.332492658,0.457200000,0.457200000
28.465591195,2.334082705,0.457200000,0.457200000
28.490367994,2.335709253,0.457200000,0.457200000
28.515142369,2.337372299,0.457200000,0.457200000
28.539914268,2.339071838,0.457200000,0.457200000
28.564683636,2.340807868,0.457200000,0.457200000
28.589450421,2.342580384,0.457200000,0.457200000
28.614214567,2.344389382,0.457200000,0.457200000
28.638976021,2.346234859,0.457200000,0.457200000
28.663734730,2.348116811,0.457200000,0.457200000
28.688490639,2.350035234,0.457200000,0.457200000
28.713243696,2.351990122,0.457200000,0.457200000
28.737993846,2.353981473,0.457200000,0.457200000
28.762741036,2.356009282,0.457200000,0.457200000
28.787485211,2.358073545,0.457200000,0.457200000
28.812226319,2.360174256,0.457200000,0.457200000
28.836964305,2.362311411,0.457200000,0.457200000
28.861699117,2.364485007,0.457200000,0.457200000
28.886430699,2.366695037,0.457200000,0.457200000
28.911158999,2.368941498,0.457200000,0.457200000
28.935883963,2.371224384,0.457200000,0.457200000
28.960605537,2.373543690,0.457200000,0.457200000
28.985323668,2.375899412,0.457200000,0.457200000
29.010038301,2.378291544,0.457200000,0.457200000
29.034749384,2.380720081,0.457200000,0.457200000
29.059456862,2.383185018,0.457200000,0.457200000
29.084160683,2.385686350,0.457200000,0.457200000
29.108860792,2.388224070,0.457200000,0.457200000
29.133557135,2.390798174,0.457200000,0.457200000
29.158249660,2.393408656,0.457200000,0.457200000
29.182938313,2.396055511,0.457200000,0.457200000
29.207623040,2.398738731,0.457200000,0.457200000
29.232303787,2.401458313,0.457200000,0.457200000
29.256980501,2.404214249,0.457200000,0.457200000
29.281653128,2.407006534,0.457200000,0.457200000
29.306321616,2.409835162,0.457200000,0.457200000
29.330985909,2.412700127,0.457200000,0.457200000
29.355645956,2.415601422,0.457200000,0.457200000
29.380301702,2.418539041,0.457200000,0.457200000
29.404953093,2.421512977,0.457200000,0.457200000
29.429600077,2.424523225,0.457200000,0.457200000
29.454242600,2.427569778,0.457200000,0.457200000
29.478880608,2.430652629,0.457200000,0.457200000
29.503514047,2.433771772,0.457200000,0.457200000
29.528142865,2.436927199,0.457200000,0.457200000
29.552767009,2.440118904,0.457200000,0.457200000
29.577386423,2.443346880,0.457200000,0.457200000
29.602001056,2.446611119,0.457200000,0.457200000
29.626610853,2.449911616,0.457200000,0.457200000
29.651215762,2.453248362,0.457200000,0.457200000
29.675815728,2.456621351,0.457200000,0.457200000
29.700410699,2.460030575,0.457200000,0.457200000
29.725000622,2.463476026,0.457200000,0.457200000
